date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-31,20.35,20.51,20.37,19.75,174808.14,-0.26,-1.26,20.23,19.366,17.808,298198.8,352450.53,314588.47
2018-07-30,20.0,20.88,20.64,20.0,430116.19,0.89,4.51,20.228,19.062,17.512,374806.61,358743.56,314740.63
2018-07-27,20.38,20.39,19.74,19.61,218360.48,-0.38,-1.89,20.052,18.707,17.198,404103.43,350489.93,300745.95
2018-07-26,20.24,20.53,20.13,19.43,336429.0,-0.05,-0.25,19.712,18.481,16.962,422184.39,359890.63,297481.15
2018-07-25,20.2,20.64,20.27,19.82,331280.19,-0.1,-0.49,19.194,18.139,16.68,427897.99,363047.24,287221.64
2018-07-24,20.03,20.89,20.36,19.85,557847.19,0.63,3.19,18.502,17.765,16.393,406702.27,358531.98,280357.44
2018-07-23,18.0,19.84,19.76,17.81,576600.31,1.72,9.53,17.896,17.387,16.125,342680.51,350083.58,268436.56
2018-07-20,17.52,18.08,18.04,17.23,308765.28,0.5,2.85,17.362,17.058,15.927,296876.42,322882.95,252109.62
2018-07-19,17.02,17.93,17.54,17.02,364997.0,0.72,4.28,17.25,16.752,15.833,297596.87,307164.98,248632.44
2018-07-18,17.2,17.31,16.81,16.74,225301.56,-0.5,-2.89,17.084,16.478,15.748,298196.49,286098.4,247365.74
2018-07-17,16.89,17.36,17.33,16.67,237738.42,0.25,1.46,17.028,16.25,15.7,310361.69,276726.41,248365.33
2018-07-16,17.51,17.88,17.09,16.81,347579.84,-0.41,-2.34,16.878,15.962,15.566,357486.64,270737.71,246716.19
2018-07-13,16.96,17.58,17.48,16.67,312367.53,0.77,4.61,16.754,15.688,15.482,348889.48,251001.98,237938.62
2018-07-12,16.48,17.21,16.71,16.48,367995.12,0.17,1.03,16.254,15.443,15.374,316733.1,235071.67,228770.99
2018-07-11,16.08,16.65,16.53,15.99,286127.53,-0.05,-0.3,15.872,15.221,15.302,274000.3,211396.03,218084.04
2018-07-10,16.43,16.96,16.58,16.28,473363.16,0.11,0.67,15.472,15.021,15.242,243091.14,202182.89,218720.57
2018-07-09,14.99,16.47,16.47,14.99,304594.06,1.5,10.02,15.046,14.863,15.155,183988.78,186789.55,204329.26
2018-07-06,14.69,15.3,14.98,14.62,151585.62,0.19,1.28,14.622,14.795,15.074,153114.48,181336.28,195341.74
2018-07-05,14.46,15.15,14.8,14.46,154331.11,0.27,1.86,14.632,14.913,15.063,153410.24,190099.89,194909.46
2018-07-04,14.5,14.88,14.53,14.38,131581.73,0.08,0.55,14.57,15.017,15.062,148791.76,208633.09,199318.22
2018-07-03,14.5,14.7,14.45,13.76,177851.36,0.08,0.56,14.57,15.15,15.053,161274.65,220004.26,198488.3
2018-07-02,14.94,15.13,14.35,14.23,150222.56,-0.68,-4.52,14.68,15.17,15.045,189590.32,222694.68,194616.59
2018-06-29,14.52,15.08,15.03,14.52,153064.45,0.53,3.65,14.968,15.275,15.036,209558.09,224875.27,194419.1
2018-06-28,14.6,14.87,14.49,14.43,131238.69,-0.03,-0.21,15.194,15.305,14.987,226789.55,222470.31,191919.48
2018-06-27,14.99,15.13,14.53,14.32,193996.19,-0.46,-3.07,15.464,15.382,14.943,268474.43,224772.06,189806.31
2018-06-26,15.15,15.52,15.0,14.75,319429.69,-0.79,-5.0,15.73,15.462,14.904,278733.86,235258.25,184210.14
2018-06-25,16.09,16.1,15.79,15.32,250061.41,-0.38,-2.35,15.66,15.447,14.852,255799.04,221868.97,171187.27
2018-06-22,15.58,16.26,16.16,15.36,239221.75,0.33,2.08,15.582,15.352,14.758,240192.46,209347.19,163168.62
2018-06-21,15.8,16.64,15.84,15.62,339663.09,-0.01,-0.06,15.416,15.213,14.651,218151.06,199719.03,155336.81
2018-06-20,14.86,16.06,15.86,14.58,245293.38,1.19,8.11,15.3,15.107,14.563,181069.7,190003.35,143434.62
2018-06-19,15.2,15.57,14.65,14.4,204755.56,-0.76,-4.93,15.194,14.956,14.487,191782.64,176972.35,135654.92
2018-06-15,15.28,15.63,15.4,15.15,172028.5,0.06,0.39,15.234,14.92,14.479,187938.89,166538.5,131934.92
2018-06-14,15.15,15.4,15.33,15.08,129014.79,0.09,0.59,15.122,14.796,14.423,178501.93,163962.93,129742.38
2018-06-13,15.32,15.65,15.26,15.06,154256.25,-0.07,-0.46,15.01,14.668,14.373,181287.0,161368.66,129065.64
2018-06-12,15.0,15.48,15.33,14.87,298858.09,0.48,3.23,14.914,14.504,14.336,198937.0,154840.55,128085.23
2018-06-11,14.51,15.08,14.85,14.39,185536.84,0.29,1.99,14.718,14.345,14.296,162162.05,133162.04,122996.35
2018-06-08,14.78,14.95,14.84,14.61,124843.67,0.06,0.41,14.606,14.256,14.285,145138.1,120505.57,118522.08
2018-06-07,14.7,14.94,14.77,14.62,142940.16,-0.01,-0.07,14.47,14.163,14.269,149423.93,116990.06,119608.53
2018-06-06,14.3,14.86,14.78,14.3,242506.23,0.43,3.0,14.326,14.089,14.276,141450.33,110954.58,120734.75
2018-06-05,14.38,14.44,14.35,14.16,114983.37,0.06,0.42,14.094,14.018,14.289,110744.1,96865.9,114188.54
2018-06-04,14.28,14.41,14.29,14.17,100417.07,0.12,0.85,13.972,14.017,14.323,104162.02,94337.49,115179.56
2018-06-01,14.04,14.43,14.16,13.95,146272.83,0.1,0.71,13.906,14.037,14.358,95873.04,97331.35,119223.59
2018-05-31,13.76,14.06,14.05,13.71,103072.13,0.42,3.08,13.856,14.049,14.388,84556.18,95521.84,122904.69
2018-05-30,13.53,13.82,13.62,13.48,88975.1,-0.11,-0.8,13.852,14.078,14.415,80458.84,96762.62,126195.74
2018-05-29,13.96,14.03,13.74,13.66,82072.96,-0.24,-1.72,13.942,14.168,14.466,82987.7,101329.91,133850.05
2018-05-28,13.83,14.08,13.96,13.81,58972.18,0.05,0.36,14.062,14.246,14.485,84512.95,112830.65,138209.16
2018-05-25,14.01,14.09,13.91,13.67,89688.54,-0.12,-0.85,14.168,14.314,14.493,98789.66,116538.59,142055.65
2018-05-24,14.02,14.16,14.03,14.0,82585.43,-0.05,-0.35,14.242,14.375,14.523,106487.49,122227.0,144295.98
2018-05-23,14.3,14.37,14.07,14.05,101619.39,-0.28,-1.95,14.304,14.462,14.553,113066.4,130514.91,152420.51
2018-05-22,14.5,14.5,14.34,14.19,89699.23,-0.14,-0.97,14.394,14.56,14.553,119672.12,131511.19,152080.21
2018-05-21,14.37,14.54,14.49,14.36,130355.69,0.21,1.47,14.43,14.628,14.534,141148.35,136021.63,159063.61
2018-05-18,14.22,14.35,14.28,13.98,128177.71,-0.06,-0.42,14.46,14.679,14.537,134287.53,141115.84,162831.12
2018-05-17,14.58,14.62,14.34,14.25,115479.96,-0.18,-1.24,14.508,14.727,14.536,137966.5,150287.54,166384.48
2018-05-16,14.39,14.62,14.52,14.35,134648.0,0.01,0.07,14.62,14.751,14.529,147963.43,155628.86,169249.87
2018-05-15,14.56,14.57,14.52,14.2,197080.41,-0.11,-0.75,14.726,14.764,14.514,143350.25,166370.18,175631.12
2018-05-14,14.6,14.79,14.64,14.59,96051.55,0.12,0.83,14.826,14.724,14.535,130894.91,163587.66,172660.97
2018-05-11,14.92,14.94,14.52,14.51,146572.59,-0.38,-2.55,14.898,14.671,14.55,147944.15,167572.71,179844.31
2018-05-10,15.12,15.18,14.9,14.68,165464.59,-0.15,-1.0,14.946,14.67,14.587,162608.57,166364.96,185533.54
2018-05-09,15.0,15.09,15.05,14.89,111582.12,0.04,0.27,14.882,14.643,14.607,163294.3,174326.11,197128.45
2018-05-08,14.95,15.15,15.02,14.95,134803.69,0.02,0.13,14.802,14.545,14.606,189390.11,172649.23,205089.45
2018-05-07,14.82,15.12,15.0,14.66,181297.78,0.24,1.63,14.622,14.439,14.596,196280.41,182105.58,212429.31
2018-05-04,14.51,15.03,14.76,14.51,219894.66,0.18,1.24,14.444,14.395,14.608,187201.27,184546.4,218831.1
2018-05-03,14.52,14.6,14.58,14.29,168893.23,-0.07,-0.48,14.394,14.345,14.633,170121.36,182481.43,224309.26
2018-05-02,14.29,14.66,14.65,14.23,242061.2,0.55,3.9,14.404,14.307,14.649,185357.92,182870.87,227409.71
2018-04-27,14.36,14.44,14.12,14.02,169255.19,0.02,0.14,14.288,14.264,14.659,155908.35,184892.06,233271.22
2018-04-26,14.5,14.58,14.11,14.07,135902.06,-0.4,-2.76,14.256,14.346,14.657,167930.75,181734.27,233164.5
2018-04-25,14.45,14.56,14.51,14.36,134495.12,-0.12,-0.82,14.346,14.428,14.666,181891.52,192115.91,235398.71
2018-04-24,14.13,14.82,14.63,14.13,245076.05,0.56,3.98,14.296,14.503,14.639,194841.49,204702.13,237544.18
2018-04-23,13.87,14.13,14.07,13.83,94813.33,0.11,0.79,14.21,14.571,14.61,180383.82,219930.79,239206.68
2018-04-20,14.45,14.45,13.96,13.83,229367.17,-0.6,-4.12,14.24,14.666,14.663,213875.78,237529.68,248893.61
2018-04-19,14.24,14.58,14.56,14.19,205705.95,0.31,2.17,14.436,14.752,14.715,195537.8,242753.03,248092.15
2018-04-18,14.39,14.45,14.26,13.96,199244.95,0.05,0.35,14.51,14.821,14.73,202340.3,253115.81,249209.71
2018-04-17,14.3,14.45,14.2,14.11,172787.69,-0.01,-0.07,14.71,14.92,14.757,214562.76,266137.1,252121.33
2018-04-16,14.87,14.95,14.22,14.06,262273.12,-0.71,-4.76,14.932,14.991,14.804,259477.77,271948.55,256613.05
2018-04-13,15.15,15.16,14.94,14.75,137677.27,0.01,0.07,15.092,15.053,14.845,261183.57,281650.38,256394.51
2018-04-12,15.21,15.45,14.93,14.81,239718.47,-0.32,-2.1,15.068,14.968,14.868,289968.27,284594.73,273320.54
2018-04-11,15.41,15.6,15.26,15.17,260357.25,-0.06,-0.39,15.132,14.903,14.831,303891.31,278681.51,273244.63
2018-04-10,15.27,15.86,15.31,15.2,397362.72,0.29,1.93,15.13,14.774,14.774,317711.44,270386.24,271163.73
2018-04-09,14.88,15.32,15.02,14.88,270802.16,0.17,1.15,15.05,14.648,14.699,284419.33,258482.56,260542.56
2018-04-04,15.38,15.49,14.82,14.81,281600.75,-0.45,-2.95,15.014,14.659,14.645,302117.18,260257.54,251725.84
