date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-31,18.18,19.38,19.11,18.18,39939.76,0.73,3.97,19.814,20.194,20.546,53101.8,43121.18,28695.89
2018-07-30,18.88,18.96,18.38,18.05,30222.19,-0.6,-3.16,20.662,20.313,20.62,60172.0,40273.86,27360.3
2018-07-27,19.7,19.7,18.98,18.9,51228.02,-1.62,-7.86,21.232,20.472,20.714,60384.31,39465.38,26355.94
2018-07-26,21.0,21.55,20.6,20.5,51829.37,-1.4,-6.36,21.296,20.774,20.754,58302.45,37642.21,24299.82
2018-07-25,24.0,24.9,22.0,22.0,92289.66,-1.35,-5.78,20.994,20.872,20.69,49731.14,33634.45,22196.12
2018-07-24,23.35,23.35,23.35,22.29,75290.78,2.12,9.99,20.574,20.807,20.558,33140.56,25514.42,18051.24
2018-07-23,20.0,21.23,21.23,20.0,31283.71,1.93,10.0,19.964,20.582,20.336,20375.72,19039.44,14715.04
2018-07-20,18.0,20.66,19.3,17.4,40818.73,0.28,1.47,19.712,20.58,20.209,18546.45,17164.31,13700.02
2018-04-20,19.79,19.8,19.09,19.09,8972.8,-0.81,-4.07,20.252,20.692,20.253,16981.97,13741.34,12148.66
2018-04-19,20.15,20.29,19.9,19.85,9336.8,-0.4,-1.97,20.75,20.825,20.284,17537.77,14154.61,12115.77
2018-04-18,20.0,20.4,20.3,19.5,11466.56,0.33,1.65,21.04,20.897,20.289,17888.28,14270.59,12141.91
2018-04-17,20.96,21.58,19.97,19.9,22137.35,-2.03,-9.23,21.2,20.926,20.256,17703.17,14446.74,11877.83
2018-04-16,21.8,22.81,22.0,21.25,32996.35,0.42,1.95,21.448,20.955,20.215,15782.18,13246.5,11019.92
2018-04-13,21.21,21.87,21.58,21.0,11751.8,0.23,1.08,21.132,20.734,20.075,10500.71,10957.44,9758.0
2018-04-12,21.1,22.05,21.35,21.01,11089.34,0.25,1.19,20.9,20.508,20.0,10771.44,10757.79,9575.81
2018-04-11,21.46,21.54,21.1,20.97,10540.99,-0.11,-0.52,20.754,20.308,19.928,10652.91,10588.06,9428.6
2018-04-10,20.53,21.29,21.21,20.31,12532.42,0.79,3.87,20.652,20.089,19.884,11190.31,10390.63,9471.12
2018-04-09,20.4,20.58,20.42,20.05,6588.99,0.0,0.0,20.462,19.838,19.812,10710.82,10235.73,9301.67
2018-04-04,20.64,21.05,20.42,20.3,13105.48,-0.2,-0.97,20.336,19.814,19.767,11414.17,10555.97,9274.97
2018-04-03,20.31,20.79,20.62,20.06,10496.65,0.03,0.15,20.116,19.742,19.716,10744.13,10076.92,9176.55
2018-04-02,20.1,20.6,20.59,20.06,13228.0,0.33,1.63,19.862,19.68,19.684,10523.2,10013.23,9692.71
2018-03-30,20.11,20.35,20.26,19.89,10134.98,0.47,2.38,19.526,19.586,19.593,9590.96,9308.93,9290.71
2018-03-29,19.3,19.98,19.79,19.3,10105.73,0.47,2.43,19.214,19.474,19.518,9760.64,8793.33,9128.0
2018-03-28,19.26,19.67,19.32,19.2,9755.27,-0.03,-0.15,19.292,19.415,19.465,9697.77,8558.56,8952.36
2018-03-27,19.06,19.47,19.35,19.04,9392.04,0.44,2.33,19.368,19.491,19.425,9409.72,8393.84,8697.76
2018-03-26,18.69,19.17,18.91,18.55,8566.78,0.21,1.12,19.498,19.547,19.383,9503.26,8269.15,8477.58
2018-03-23,19.75,19.76,18.7,18.7,10983.4,-1.48,-7.33,19.646,19.679,19.36,9026.9,8551.61,8509.36
2018-03-22,19.89,20.38,20.18,19.66,9791.38,0.48,2.44,19.734,19.786,19.317,7826.02,8367.61,8193.19
2018-03-21,19.92,20.35,19.7,19.55,8315.0,-0.3,-1.5,19.538,19.72,19.2,7419.35,7993.97,7845.98
2018-03-20,19.6,20.17,20.0,19.13,9859.73,0.35,1.78,19.614,19.689,19.086,7377.95,8276.17,7574.18
2018-03-19,19.26,19.66,19.65,19.06,6185.0,0.51,2.67,19.596,19.687,18.954,7035.03,9372.2,7330.12
2018-03-16,19.36,19.54,19.14,19.04,4979.01,-0.06,-0.31,19.712,19.6,18.848,8076.31,9272.49,7266.12
2018-03-15,19.74,20.03,19.2,18.82,7758.01,-0.88,-4.38,19.838,19.561,18.736,8909.19,9462.68,7349.58
2018-03-14,19.91,20.34,20.08,19.55,8108.01,0.17,0.85,19.902,19.515,18.691,8568.59,9346.16,7164.17
2018-03-13,20.38,20.4,19.91,19.82,8145.13,-0.32,-1.58,19.764,19.359,18.602,9174.39,9001.69,7187.88
2018-03-12,19.8,20.55,20.23,19.8,11391.4,0.46,2.33,19.778,19.218,18.556,11709.36,8686.02,7223.97
2018-03-09,19.58,19.88,19.77,19.3,9143.4,0.25,1.28,19.488,19.041,18.6,10468.66,8467.11,6862.05
2018-03-08,19.47,19.55,19.52,19.02,6055.0,0.13,0.67,19.284,18.848,18.717,10016.16,8018.77,6756.57
2018-03-07,19.59,19.69,19.39,19.32,11137.0,-0.59,-2.95,19.128,18.679,18.832,10123.74,7698.0,6822.78
