date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-31,13.09,13.41,13.32,12.74,324692.97,0.14,1.06,13.196,12.709,12.037,387691.67,416989.44,340990.06
2018-07-30,13.2,13.65,13.18,13.0,472131.31,0.15,1.15,13.212,12.546,11.908,491270.13,402631.51,332289.25
2018-07-27,13.23,13.33,13.03,12.96,283651.56,-0.25,-1.88,13.114,12.391,11.776,534527.12,371547.68,318688.61
2018-07-26,13.21,13.38,13.28,12.94,376308.84,0.11,0.83,12.88,12.258,11.672,534896.21,371481.9,314843.55
2018-07-25,13.29,13.46,13.17,12.95,481673.69,-0.23,-1.72,12.558,12.095,11.528,512078.14,362646.19,303021.81
2018-07-24,12.88,13.67,13.4,12.73,842585.25,0.71,5.59,12.222,11.926,11.392,446287.21,342390.92,287764.98
2018-07-23,11.9,13.05,12.69,11.8,688416.25,0.83,7.0,11.88,11.752,11.263,313992.88,304657.15,257396.1
2018-07-20,11.63,11.86,11.86,11.52,285497.0,0.19,1.63,11.668,11.638,11.188,208568.24,271827.8,231963.35
2018-07-19,11.58,11.88,11.67,11.55,262218.53,0.18,1.57,11.636,11.543,11.167,208067.6,268511.6,227600.48
2018-07-18,11.64,11.76,11.49,11.45,152719.03,-0.2,-1.71,11.632,11.429,11.146,213214.23,259677.43,230493.49
2018-07-17,11.7,11.73,11.69,11.38,181113.59,0.06,0.52,11.63,11.365,11.132,238494.62,264990.69,234525.56
2018-07-16,11.62,11.78,11.63,11.61,161293.05,-0.07,-0.6,11.624,11.269,11.09,295321.42,261947.0,243079.85
2018-07-13,11.73,11.86,11.7,11.44,282993.78,0.05,0.43,11.608,11.161,11.11,335087.35,265829.55,252119.48
2018-07-12,11.44,11.75,11.65,11.44,287951.69,0.17,1.48,11.45,11.085,11.13,328955.59,258205.2,248756.49
2018-07-11,11.35,11.54,11.48,11.0,279121.0,-0.18,-1.54,11.226,10.961,11.141,306140.64,243397.43,245841.99
2018-07-10,11.55,11.93,11.66,11.43,465247.59,0.11,0.95,11.1,10.858,11.172,291486.75,233139.04,247609.81
2018-07-09,10.92,11.55,11.55,10.85,360122.69,0.64,5.87,10.914,10.774,11.175,228572.57,210135.05,236739.75
2018-07-06,10.51,11.05,10.91,10.5,252335.0,0.38,3.61,10.714,10.738,11.169,196571.75,192098.91,228952.95
2018-07-05,10.89,10.98,10.53,10.47,173876.91,-0.32,-2.95,10.72,10.791,11.213,187454.81,186689.36,225094.72
2018-07-04,10.68,10.9,10.85,10.64,205851.56,0.12,1.12,10.696,10.862,11.284,180654.21,201309.54,229736.35
2018-07-03,10.55,10.78,10.73,10.38,150676.69,0.18,1.71,10.616,10.899,11.33,174791.32,204060.43,229588.64
