name,code,pe
中原证券,"601375",32.682
绿城水务,"601368",22.38
百隆东方,"601339",13.6
新华保险,"601336",37.323
广深铁路,"601333",32.813
交通银行,"601328",7.573
中国平安,"601318",20.966
骆驼股份,"601311",21.246
农业银行,"601288",8.036
庞大集团,"601258",42.167
广汽集团,"601238",24.52
环旭电子,"601231",33.973
上海银行,"601229",6.119
陕西煤业,"601225",35.536
林洋能源,"601222",31.75
吉鑫科技,"601218",29.476
国泰君安,"601211",16.562
东材科技,"601208",86.857
上海环境,"601200",35.303
江南水务,"601199",16.0
东兴证券,"601198",29.165
龙江交通,"601188",19.026
中国铁建,"601186",11.437
中国西电,"601179",21.0
北京银行,"601169",6.44
兴业银行,"601166",6.682
三角轮胎,"601163",15.764
重庆水务,"601158",30.318
深圳燃气,"601139",22.486
博威合金,"601137",30.865
小康股份,"601127",31.683
四方股份,"601126",21.444
中国化学,"601117",20.75
中国国航,"601111",24.2
四川成渝,"601107",12.558
太平洋,"601099",37.7
中南传媒,"601098",14.48
中国神华,"601088",22.68
西部黄金,"601069",72.111
赛轮金宇,"601058",21.188
春秋航空,"601021",29.815
华钰矿业,"601020",57.611
宁波港,"601018",31.765
节能风电,"601016",36.813
隆基股份,"601012",44.395
文峰股份,"601010",28.357
金陵饭店,"601007",79.568
大秦铁路,"601006",20.958
柳钢股份,"601003",95.3
唐山港,"601000",15.545
招商证券,"600999",21.343
九州通,"600998",32.556
贵广网络,"600996",19.023
文山电力,"600995",27.576
马应龙,"600993",35.276
四创电子,"600990",56.937
赤峰黄金,"600988",13.267
航民股份,"600987",13.447
惠而浦,"600983",14.306
宁波热电,"600982",37.811
汇鸿集团,"600981",19.067
北矿科技,"600980",61.367
广安爱众,"600979",20.971
宜华生活,"600978",18.979
健民集团,"600976",57.071
新五丰,"600975",19.4
宝胜股份,"600973",15.872
郴电国际,"600969",32.366
福成股份,"600965",43.348
东方证券,"600958",36.171
广西广电,"600936",33.15
江苏银行,"600919",8.235
重庆燃气,"600917",39.5
华安证券,"600909",38.952
长江电力,"600900",16.716
厦门空港,"600897",17.434
