name,code,pe,industry
圣龙股份,603178,22.9,NULL
德创环保,603177,66.579,NULL
荣晟环保,603165,6.455,NULL
科华控股,603161,18.009,NULL
上海亚虹,603159,44.111,NULL
拉夏贝尔,603157,15.98,NULL
养元饮品,603156,11.171,NULL
康惠制药,603139,27.507,NULL
海量数据,603138,40.145,NULL
天目湖,603136,24.415,NULL
春风动力,603129,20.068,NULL
华贸物流,603128,22.5,NULL
昭衍新药,603127,47.679,NULL
金能科技,603113,14.343,NULL
东方材料,603110,21.735,NULL
恒银金融,603106,25.606,NULL
横店影视,603103,36.513,NULL
汇嘉时代,603101,27.796,NULL
森特股份,603098,24.84,NULL
新经典,603096,41.637,NULL
宏盛股份,603090,58.333,NULL
正裕工业,603089,27.304,NULL
宁波精达,603088,31.462,NULL
先达股份,603086,14.26,NULL
天成自控,603085,44.419,NULL
剑桥科技,603083,34.688,NULL
大丰实业,603081,22.0,NULL
新疆火炬,603080,39.538,NULL
圣达生物,603079,23.541,NULL
江化微,603078,35.702,NULL
乐惠国际,603076,33.588,NULL
海汽集团,603069,49.875,NULL
振华股份,603067,24.348,NULL
音飞储存,603066,35.036,NULL
国检集团,603060,26.358,NULL
倍加洁,603059,22.056,NULL
永吉股份,603058,59.344,NULL
德邦股份,603056,38.844,NULL
台华新材,603055,17.73,NULL
科林电气,603050,24.755,NULL
福达合金,603045,69.171,NULL
广州酒家,603043,28.995,NULL
华脉科技,603042,26.685,NULL
美思德,603041,32.981,NULL
德新交运,603032,68.15,NULL
安德利,603031,26.5,NULL
千禾味业,603027,46.563,NULL
石大胜华,603026,24.38,NULL
亚普股份,603013,41.054,NULL
北特科技,603009,32.287,NULL
联明股份,603006,18.1,NULL
宏昌电子,603002,32.154,NULL
南京证券,601990,53.824,NULL
苏垦农发,601952,11.729,NULL
中国出版,601949,13.065,NULL
海天精工,601882,49.9,NULL
浙商证券,601878,20.971,NULL
长飞光纤,601869,29.866,NULL
中国科传,601858,18.333,NULL
成都银行,601838,7.642,NULL
美凯龙,601828,12.363,NULL
吉林高速,601518,12.625,NULL
通用股份,601500,41.0,NULL
秦港股份,601326,21.278,NULL
桐昆股份,601233,13.725,NULL
新城控股,601155,9.395,NULL
工业富联,601138,17.095,NULL
小康股份,601127,21.333,NULL
华鼎股份,601113,60.818,NULL
财通证券,601108,22.889,NULL
国芳集团,601086,33.636,NULL
中信建投,601066,17.863,NULL
华钰矿业,601020,21.379,NULL
山东出版,601019,10.149,NULL
陕西黑猫,601015,28.36,NULL
宝泰隆,601011,54.273,NULL
柳钢股份,601003,9.443,NULL
晋亿实业,601002,33.368,NULL
开滦股份,600997,18.091,NULL
四创电子,600990,31.172,NULL
赤峰黄金,600988,25.632,NULL
科达股份,600986,10.84,NULL
雷鸣科化,600985,26.244,NULL
中国电影,600977,27.234,NULL
中材国际,600970,12.214,NULL
内蒙一机,600967,38.419,NULL
岳阳林纸,600963,17.929,NULL
渤海汽车,600960,27.682,NULL
重庆建工,600939,30.75,NULL
爱柯迪,600933,16.123,NULL
湖南盐业,600929,60.52,NULL
江苏租赁,600901,16.581,NULL
大晟文化,600892,15.333,NULL
