date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-03-29,20.82,21.08,20.9,20.82,2181.85,0.01,0.05,20.62,20.776,20.84,3371.45,2983.74,2632.12,0.1
2018-03-28,20.8,20.98,20.89,20.64,2067.88,0.05,0.24,20.698,20.748,20.856,4023.83,2954.99,2686.65,0.09
2018-03-27,20.33,20.95,20.8,20.18,4216.61,0.49,2.41,20.69,20.744,20.856,4124.74,2944.94,2693.11,0.19
2018-03-26,20.0,20.45,20.31,19.6,2729.8,0.11,0.55,20.714,20.778,20.877,3659.98,2741.81,2634.03,0.12
2018-03-23,21.15,21.3,20.2,20.19,5661.1,-1.11,-5.21,20.82,20.862,20.934,3368.22,2864.69,2758.23,0.25
2018-03-22,20.8,21.5,21.29,20.8,5443.78,0.38,1.82,20.932,20.95,20.974,2596.04,2607.63,2585.45,0.24
2018-03-21,20.89,21.12,20.85,20.72,2572.41,-0.12,-0.57,20.798,20.895,20.966,1886.14,2282.47,2491.57,0.11
2018-03-20,20.83,20.97,20.92,20.51,1892.82,0.08,0.38,20.798,20.881,20.979,1765.13,2213.99,2630.87,0.08
2018-03-19,20.65,20.95,20.84,20.65,1271.0,0.1,0.48,20.842,20.877,20.973,1823.65,2185.55,2586.02,0.06
2018-03-16,20.52,20.85,20.76,20.52,1800.17,0.14,0.68,20.904,20.889,20.947,2361.16,2236.53,2659.73,0.08
2018-03-15,20.73,20.95,20.62,20.53,1894.3,-0.24,-1.15,20.968,20.903,20.947,2619.23,2280.49,2669.99,0.08
2018-03-14,20.85,21.1,20.85,20.84,1967.37,-0.29,-1.37,20.992,20.963,20.95,2678.81,2418.31,2668.48,0.09
2018-03-13,21.2,21.23,21.14,21.01,2185.39,0.0,0.0,20.964,20.968,20.921,2662.85,2441.29,2702.34,0.1
2018-03-12,21.05,21.23,21.15,20.92,3958.57,0.1,0.47,20.912,20.975,20.924,2547.45,2526.25,2673.73,0.18
2018-03-09,20.71,21.08,21.08,20.6,3090.52,0.37,1.79,20.874,21.006,20.917,2111.91,2651.78,2570.0,0.14
2018-03-08,20.91,20.91,20.74,20.55,2192.18,0.03,0.14,20.838,20.998,20.913,1941.75,2563.27,2616.4,0.1
2018-03-07,20.95,21.02,20.71,20.68,1887.57,-0.17,-0.81,20.934,21.037,20.946,2157.81,2700.68,2778.26,0.08
2018-03-06,20.95,20.95,20.88,20.81,1608.43,-0.04,-0.19,20.972,21.077,21.011,2219.73,3047.76,3137.14,0.07
2018-03-05,20.64,21.09,20.96,20.64,1780.84,0.14,0.67,21.038,21.068,21.047,2505.05,2986.49,3155.99,0.08
2018-03-02,21.3,21.3,20.9,20.8,2239.73,-0.32,-1.51,21.138,21.005,21.08,3191.65,3082.92,3157.26,0.1
2018-03-01,20.85,21.49,21.22,20.74,3272.47,0.34,1.63,21.158,20.99,21.109,3184.8,3059.48,3195.86,0.15
2018-02-28,20.5,21.22,20.9,20.1,2197.2,-0.32,-1.51,21.14,20.936,21.133,3243.54,2918.65,3125.25,0.1
2018-02-27,21.59,21.81,21.21,21.1,3034.99,-0.25,-1.17,21.182,20.874,21.177,3875.78,2963.4,3203.49,0.13
2018-02-26,21.6,22.09,21.46,21.31,5213.86,0.46,2.19,21.098,20.873,21.192,3467.94,2821.21,3178.02,0.23
2018-02-22,21.07,21.24,21.0,20.82,2205.46,-0.02,-0.1,20.872,20.827,21.206,2974.2,2488.22,3124.36,0.1
2018-02-14,20.93,21.4,21.13,20.72,3566.21,0.01,0.05,20.822,20.827,21.246,2934.16,2669.53,3279.26,0.16
2018-02-13,20.55,22.19,21.11,20.55,5358.39,0.32,1.54,20.732,20.854,21.278,2593.76,2855.84,3445.7,0.24
2018-02-12,20.69,20.8,20.79,20.44,995.79,0.44,2.16,20.566,20.944,21.279,2051.01,3226.52,3268.58,0.04
2018-02-09,20.02,20.59,20.33,20.02,2745.13,-0.42,-2.02,20.648,21.026,21.284,2174.48,3325.49,3292.55,0.12
2018-02-08,20.47,20.81,20.75,20.47,2005.3,0.12,0.58,20.782,21.154,21.331,2002.25,3231.6,3245.53,0.09
2018-02-07,21.0,21.2,20.68,20.23,1864.17,0.44,2.17,20.832,21.227,21.351,2404.89,3332.25,3302.91,0.08
2018-02-06,20.68,21.21,20.28,20.04,2644.68,-0.96,-4.52,20.976,21.329,21.362,3117.93,3331.85,3384.56,0.12
2018-02-05,20.96,21.4,21.2,20.7,1613.12,0.2,0.95,21.322,21.479,21.413,4402.02,3443.58,3402.68,0.07
2018-02-02,20.75,21.18,21.0,20.7,1883.96,0.0,0.0,21.404,21.511,21.42,4476.5,3534.83,3494.7,0.08
2018-02-01,21.35,21.74,21.0,20.63,4018.54,-0.43,-2.01,21.526,21.584,21.439,4460.95,3760.5,3612.19,0.18
2018-01-31,22.05,22.05,21.4,21.4,5429.34,-0.63,-2.86,21.622,21.664,21.443,4259.6,3888.99,3652.02,0.24
2018-01-30,21.51,22.97,22.01,21.5,9065.16,0.4,1.85,21.682,21.702,21.442,3545.77,4035.56,3658.56,0.4
2018-01-29,21.88,21.88,21.61,21.5,1985.51,-0.02,-0.09,21.636,21.614,21.396,2485.13,3310.64,3395.64,0.09
2018-01-26,21.9,21.9,21.61,21.3,1806.21,0.12,0.56,21.618,21.541,21.363,2593.17,3259.62,3454.34,0.08
2018-01-25,21.8,21.8,21.48,21.48,3011.79,-0.21,-0.97,21.642,21.507,21.332,3060.04,3259.47,3552.19,0.13
2018-01-24,21.76,21.98,21.7,21.48,1860.17,-0.13,-0.6,21.706,21.474,21.313,3518.38,3273.57,3652.9,0.08
2018-01-23,21.52,21.88,21.78,21.2,3761.96,0.26,1.21,21.722,21.394,21.313,4525.34,3437.28,3880.42,0.17
2018-01-22,21.72,21.93,21.52,21.4,2525.7,-0.2,-0.92,21.592,21.346,21.321,4136.16,3361.79,4382.5,0.11
2018-01-19,21.82,22.2,21.73,21.67,4140.58,-0.08,-0.37,21.464,21.328,21.313,3926.07,3454.56,4490.0,0.18
2018-01-18,21.81,21.99,21.8,21.53,5303.48,0.01,0.05,21.372,21.294,21.297,3458.9,3463.89,4672.63,0.24
2018-01-17,21.09,21.99,21.78,20.88,6895.0,0.69,3.27,21.242,21.222,21.274,3028.76,3415.05,5111.15,0.31
2018-01-16,20.69,21.17,21.13,20.69,1816.04,0.25,1.2,21.066,21.181,21.259,2349.21,3281.56,5660.26,0.08
2018-01-15,21.24,21.24,20.88,20.86,1475.23,-0.37,-1.74,21.1,21.177,21.203,2587.43,3480.64,5922.0,0.07
2018-01-12,21.04,21.27,21.27,21.03,1804.74,0.1,0.47,21.192,21.184,21.206,2983.06,3649.07,6431.42,0.08
2018-01-11,20.87,21.33,21.15,20.74,3152.81,0.24,1.15,21.216,21.157,21.165,3468.89,3844.91,6831.41,0.14
2018-01-10,21.29,21.39,20.9,20.78,3497.21,-0.39,-1.83,21.202,21.152,21.091,3801.33,4032.24,6771.0,0.15
2018-01-09,21.33,21.48,21.3,21.12,3007.15,-0.04,-0.19,21.296,21.232,21.026,4213.92,4323.56,6745.58,0.13
2018-01-08,21.15,21.49,21.34,21.08,3453.38,-0.02,-0.09,21.254,21.295,20.942,4373.85,5403.21,6745.05,0.15
2018-01-05,21.03,21.45,21.39,20.66,4233.89,0.24,1.14,21.176,21.298,20.846,4315.09,5525.44,6758.09,0.19
2018-01-04,21.72,21.72,21.08,21.03,4815.01,-0.29,-1.36,21.098,21.299,20.738,4220.94,5881.37,6660.62,0.21
2018-01-03,20.9,21.7,21.37,20.88,5560.18,0.29,1.38,21.102,21.326,20.657,4263.15,6807.26,6687.99,0.25
2018-01-02,20.95,21.3,21.09,20.7,3806.81,0.1,0.48,21.168,21.336,20.578,4433.2,8038.95,6553.48,0.17
2017-12-29,20.9,21.4,20.95,20.9,3159.55,-0.03,-0.14,21.336,21.228,20.536,6432.56,8363.36,6453.8,0.14
2017-12-28,21.1,21.15,21.0,20.5,3763.14,-0.17,-0.8,21.42,21.227,20.506,6735.8,9213.76,6411.61,0.17
2017-12-27,21.48,21.48,21.1,21.05,5026.05,-0.53,-2.45,21.5,21.173,20.471,7541.8,9817.91,6453.01,0.22
2017-12-26,21.93,21.93,21.7,21.15,6410.46,-0.23,-1.05,21.55,21.029,20.419,9351.37,9509.77,6308.89,0.28
2017-12-25,21.5,22.1,21.93,21.5,13803.61,0.6,2.81,21.504,20.82,20.335,11644.7,9167.6,6155.42,0.61
2017-12-22,21.65,21.7,21.37,21.05,4675.72,0.0,0.0,21.12,20.589,20.234,10294.17,8086.89,5569.03,0.21
2017-12-21,21.18,21.47,21.4,20.71,7793.15,0.04,0.19,21.034,20.393,20.177,11691.72,7990.74,5437.77,0.35
2017-12-20,21.15,21.79,21.35,21.0,14073.91,-0.12,-0.56,20.846,20.177,20.112,12094.03,7439.88,5295.98,0.62
2017-12-19,20.0,21.6,21.47,20.0,17877.12,1.47,7.35,20.508,19.987,20.07,9668.17,6568.72,4895.64,0.79
2017-12-18,21.08,21.19,20.01,19.89,7050.93,-0.94,-4.49,20.136,19.82,20.03,6690.49,5068.01,4236.74,0.31
2017-12-15,20.45,21.28,20.94,20.26,11663.49,0.47,2.3,20.058,19.844,20.069,5879.62,4544.23,4253.98,0.52
2017-12-14,19.5,20.89,20.46,19.5,9804.69,0.8,4.07,19.752,19.784,20.054,4289.76,3609.47,4198.61,0.43
2017-12-13,19.45,19.71,19.66,19.45,1944.62,0.07,0.36,19.508,19.769,20.134,2785.73,3088.11,4209.84,0.09
2017-12-12,19.5,19.73,19.61,19.41,2988.74,-0.01,-0.05,19.466,19.809,20.289,3469.27,3108.0,5217.92,0.13
2017-12-11,19.5,19.77,19.62,19.36,2996.56,0.16,0.82,19.504,19.85,20.408,3445.52,3143.25,5302.54,0.13
2017-12-08,19.4,19.78,19.41,19.11,3714.19,0.17,0.88,19.63,19.878,20.518,3208.84,3051.16,5288.53,0.16
2017-12-07,19.4,19.5,19.24,19.16,2284.54,-0.16,-0.82,19.816,19.96,20.646,2929.17,2884.8,5328.65,0.1
2017-12-06,19.69,19.7,19.45,19.0,5362.33,-0.35,-1.77,20.03,20.047,20.785,3390.48,3152.09,5525.56,0.24
2017-12-05,20.24,20.24,19.8,19.7,2869.96,-0.44,-2.17,20.152,20.152,20.902,2746.73,3222.55,5658.24,0.13
2017-12-04,20.15,20.33,20.25,20.15,1813.17,-0.06,-0.29,20.196,20.239,20.986,2840.97,3405.48,5862.66,0.08
2017-12-01,20.3,20.39,20.34,20.12,2315.86,0.03,0.15,20.126,20.294,21.053,2893.48,3963.73,6045.87,0.1
2017-11-30,20.02,20.66,20.31,19.93,4591.1,0.25,1.25,20.104,20.324,21.11,2840.43,4787.76,6098.34,0.2
2017-11-29,19.98,20.2,20.06,19.9,2143.57,0.04,0.2,20.064,20.498,21.168,2913.69,5331.58,6177.85,0.1
2017-11-28,19.91,20.09,20.02,19.88,3341.17,0.12,0.6,20.152,20.768,21.255,3698.37,7327.84,6260.23,0.15
2017-11-27,20.2,20.2,19.9,19.9,2075.7,-0.32,-1.58,20.282,20.966,21.34,3969.99,7461.83,6313.5,0.09
2017-11-24,20.11,20.34,20.23,20.09,2050.62,0.12,0.6,20.462,21.158,21.441,5033.97,7525.9,6671.23,0.09
2017-11-23,20.42,20.56,20.11,20.05,4957.41,-0.31,-1.52,20.544,21.332,21.539,6735.09,7772.5,6932.62,0.22
2017-11-22,20.66,20.79,20.5,20.29,6066.93,-0.17,-0.82,20.932,21.522,21.646,7749.46,7899.04,7143.93,0.27
2017-11-21,20.7,20.76,20.67,20.38,4699.3,-0.11,-0.53,21.384,21.652,21.741,10957.31,8093.92,7018.87,0.21
2017-11-20,20.65,20.88,20.8,19.7,7395.61,0.15,0.73,21.65,21.733,21.829,10953.67,8319.84,6927.36,0.33
2017-11-17,21.96,22.05,20.64,20.2,10556.19,-1.4,-6.35,21.854,21.811,21.917,10017.82,8128.0,6809.67,0.47
2017-11-16,22.2,22.54,22.05,22.02,10029.25,-0.72,-3.16,22.12,21.895,22.027,8809.91,7408.91,6460.56,0.44
2017-11-15,21.9,22.88,22.76,21.45,22106.21,0.77,3.5,22.112,21.838,22.048,8048.62,7024.13,6265.9,0.98
2017-11-14,21.75,22.0,22.0,21.56,4681.1,0.18,0.82,21.92,21.741,22.064,5230.54,5192.62,5399.21,0.21
2017-11-13,21.82,21.94,21.82,21.73,2716.34,-0.16,-0.73,21.816,21.714,22.121,5686.01,5165.16,5413.4,0.12
2017-11-10,21.96,22.16,21.97,21.8,4516.63,-0.04,-0.18,21.768,21.724,22.178,6238.19,5816.57,5636.59,0.2
2017-11-09,21.83,22.12,22.01,21.59,6222.82,0.21,0.96,21.67,21.745,22.246,6007.92,6092.74,5749.76,0.28
2017-11-08,21.56,21.91,21.8,21.46,8015.79,0.32,1.49,21.564,21.769,22.304,5999.63,6388.83,5710.36,0.36
2017-11-07,21.57,21.57,21.48,21.3,6958.48,-0.1,-0.46,21.562,21.829,22.383,5154.7,5943.82,5583.28,0.31
2017-11-06,21.41,21.6,21.58,21.32,5477.22,0.1,0.47,21.612,21.925,22.478,4644.31,5534.88,5550.21,0.24
2017-11-03,21.77,21.77,21.48,21.32,3365.28,0.0,0.0,21.68,22.022,22.573,5394.96,5491.34,5804.63,0.15
2017-11-02,21.79,21.89,21.48,21.43,6181.38,-0.31,-1.42,21.82,22.159,22.651,6177.56,5512.21,6082.28,0.27
2017-11-01,21.7,21.85,21.79,21.6,3791.15,0.06,0.28,21.974,22.257,22.736,6778.03,5507.68,6541.07,0.17
