date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-03-29,8.19,8.31,8.27,8.18,46822.81,0.09,1.1,8.236,8.34,8.499,63935.6,58584.95,56072.65,0.23
2018-03-28,8.25,8.28,8.18,8.17,70077.01,-0.13,-1.56,8.256,8.371,8.518,67770.03,56508.8,57363.54,0.34
2018-03-27,8.34,8.4,8.31,8.27,41964.1,0.01,0.12,8.298,8.414,8.543,66837.74,52484.7,58351.84,0.2
2018-03-26,8.09,8.36,8.3,8.0,65409.24,0.18,2.22,8.328,8.454,8.564,70145.49,51793.4,62809.46,0.32
2018-03-23,8.18,8.27,8.12,8.1,95404.84,-0.25,-2.99,8.362,8.499,8.591,65413.97,53033.84,66349.01,0.47
2018-03-22,8.43,8.44,8.37,8.23,65994.98,-0.02,-0.24,8.444,8.558,8.615,53234.3,47256.46,65207.3,0.32
2018-03-21,8.45,8.52,8.39,8.39,65415.55,-0.07,-0.83,8.486,8.587,8.629,45247.57,43608.67,68039.32,0.32
2018-03-20,8.45,8.49,8.46,8.41,58502.86,-0.01,-0.12,8.53,8.612,8.628,38131.66,41160.15,69226.12,0.29
2018-03-19,8.55,8.55,8.47,8.45,41751.61,-0.06,-0.7,8.58,8.632,8.621,33441.3,43404.2,74986.42,0.2
2018-03-16,8.58,8.62,8.53,8.52,34506.52,-0.05,-0.58,8.636,8.655,8.606,40653.71,45601.86,79948.01,0.17
2018-03-15,8.66,8.66,8.58,8.55,26061.31,-0.03,-0.35,8.672,8.658,8.589,41278.61,53560.35,97358.85,0.13
2018-03-14,8.76,8.76,8.61,8.6,29836.0,-0.1,-1.15,8.688,8.664,8.585,41969.77,58218.28,103418.81,0.15
2018-03-13,8.75,8.79,8.71,8.67,35051.07,-0.04,-0.46,8.694,8.672,8.588,44188.63,64218.99,109105.91,0.17
2018-03-12,8.71,8.79,8.75,8.68,77813.64,0.04,0.46,8.684,8.674,8.59,53367.11,73825.52,114753.52,0.38
2018-03-09,8.68,8.71,8.71,8.63,37631.02,0.05,0.58,8.674,8.683,8.609,50550.01,79664.18,119970.4,0.18
2018-03-08,8.64,8.68,8.66,8.61,29517.1,0.02,0.23,8.644,8.671,8.628,65842.09,83158.14,129552.64,0.14
