date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-03-27,17.11,17.46,17.4,17.01,29266.0,0.45,2.65,17.614,18.001,17.9,46181.65,53111.61,40763.74,2.54
2018-03-26,15.76,17.11,16.95,15.76,28345.6,0.44,2.67,17.974,18.052,17.897,54255.33,52772.63,40337.94,2.46
2018-03-23,17.87,17.87,16.51,16.51,51281.0,-1.83,-9.98,18.406,18.198,17.934,67089.96,53242.48,40248.79,4.46
2018-03-22,18.8,18.89,18.34,18.29,44582.82,-0.53,-2.81,18.892,18.382,17.988,75718.5,52882.05,38925.64,3.88
2018-03-21,19.05,19.68,18.87,18.82,77432.84,-0.33,-1.72,18.668,18.38,17.937,70653.54,53935.01,37292.85,6.73
2018-03-20,18.76,19.75,19.2,18.53,69634.4,0.09,0.47,18.388,18.228,17.835,60041.57,48219.66,33815.26,6.05
2018-03-19,18.88,19.45,19.11,18.5,92518.72,0.17,0.9,18.13,18.097,17.705,51289.93,44833.88,30896.09,8.04
2018-03-16,17.5,18.94,18.94,17.5,94423.74,1.72,9.99,17.99,17.914,17.573,39395.0,36651.91,27083.54,15.13
2018-03-15,17.3,17.63,17.22,17.04,19258.0,-0.25,-1.43,17.872,17.756,17.425,30045.6,28998.36,23177.11,3.09
2018-03-14,17.81,18.15,17.47,17.4,24373.0,-0.44,-2.46,18.092,17.795,17.383,37216.48,28775.29,22850.41,3.91
2018-03-13,18.3,18.4,17.91,17.9,25876.21,-0.5,-2.72,18.068,17.799,17.316,36397.74,28415.88,22604.75,4.15
2018-03-12,18.27,18.52,18.41,18.1,33044.07,0.06,0.33,18.064,17.742,17.21,38377.82,27903.24,22744.8,5.3
2018-03-09,18.2,18.59,18.35,17.85,47676.73,0.03,0.16,17.838,17.669,17.147,33908.81,27255.11,21846.61,7.64
2018-03-08,17.35,18.49,18.32,17.25,55112.41,0.97,5.59,17.64,17.594,17.12,27951.12,24969.23,20472.92,8.83
2018-03-07,17.65,17.69,17.35,17.32,20279.28,-0.54,-3.02,17.498,17.493,17.081,20334.1,20650.69,19559.54,3.25
2018-03-06,17.28,17.92,17.89,16.88,35776.62,0.61,3.53,17.53,17.442,17.169,20434.01,19410.86,20077.15,5.73
2018-03-05,17.37,17.54,17.28,17.21,10699.0,-0.08,-0.46,17.42,17.313,17.277,17428.66,16958.3,20295.27,1.71
2018-03-02,17.51,17.63,17.36,17.17,17888.3,-0.25,-1.42,17.5,17.231,17.4,20601.4,17515.18,22119.44,2.87
2018-03-01,17.32,17.63,17.61,17.29,17027.28,0.1,0.57,17.548,17.094,17.496,21987.34,17355.85,23136.53,2.73
2018-02-28,17.34,17.79,17.51,17.09,20778.87,0.17,0.98,17.488,16.971,17.597,20967.28,16925.52,25885.66,3.33
2018-02-27,17.53,17.73,17.34,17.21,20749.84,-0.34,-1.92,17.354,16.833,17.661,18387.71,16793.61,26038.21,3.33
2018-02-26,17.83,17.89,17.68,17.13,26562.72,0.08,0.46,17.206,16.677,17.725,16487.94,17586.36,25869.47,4.26
2018-02-23,17.7,18.27,17.6,17.42,24817.99,0.29,1.68,16.962,16.625,17.769,14428.96,16438.11,25660.28,3.98
2018-02-22,16.99,17.5,17.31,16.92,11926.99,0.47,2.79,16.64,16.645,17.812,12724.36,15976.61,25312.89,1.91
