date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-03-29,4.16,4.2,4.19,4.13,55877.93,0.04,0.96,4.132,4.255,4.281,106220.19,126569.18,154976.76,0.5
2018-03-28,4.15,4.19,4.15,4.12,86967.0,-0.05,-1.19,4.156,4.282,4.284,111340.29,132942.44,158985.64,0.77
2018-03-27,4.11,4.22,4.2,4.1,107079.9,0.12,2.94,4.186,4.31,4.289,112159.7,144061.29,166947.88,0.95
2018-03-26,3.98,4.08,4.08,3.93,97048.63,0.04,0.99,4.214,4.34,4.286,122834.4,179173.73,166619.24,0.86
2018-03-23,4.22,4.25,4.04,3.97,184127.5,-0.27,-6.26,4.288,4.366,4.289,134213.57,187049.95,169773.75,1.63
2018-03-22,4.29,4.34,4.31,4.28,81478.44,0.01,0.23,4.378,4.392,4.289,146918.16,192968.25,163626.38,0.72
2018-03-21,4.34,4.38,4.3,4.29,91064.05,-0.04,-0.92,4.408,4.388,4.275,154544.58,203866.63,162885.89,0.81
2018-03-20,4.4,4.41,4.34,4.21,160453.36,-0.11,-2.47,4.434,4.376,4.262,175962.88,202223.83,160790.39,1.42
2018-03-19,4.49,4.62,4.45,4.45,153944.5,-0.04,-0.89,4.466,4.364,4.245,235513.07,201909.02,156945.72,1.37
2018-03-16,4.44,4.59,4.49,4.44,247650.44,0.03,0.67,4.444,4.34,4.223,239886.33,197583.64,153700.95,2.2
2018-03-15,4.43,4.46,4.46,4.38,119610.53,0.03,0.68,4.406,4.307,4.198,239018.34,183384.35,147799.95,1.06
2018-03-14,4.45,4.5,4.43,4.4,198155.59,-0.07,-1.56,4.368,4.286,4.179,253188.68,185028.85,147191.42,1.76
2018-03-13,4.32,4.68,4.5,4.3,458204.28,0.16,3.69,4.318,4.268,4.163,228484.77,189834.46,143303.15,4.07
2018-03-12,4.31,4.36,4.34,4.29,175810.8,0.04,0.93,4.262,4.232,4.145,168304.98,154064.74,128968.85,1.56
2018-03-09,4.25,4.35,4.3,4.23,243310.48,0.03,0.7,4.236,4.211,4.135,155280.95,152497.56,125843.21,2.16
2018-03-08,4.17,4.28,4.27,4.17,190462.23,0.09,2.15,4.208,4.185,4.128,127750.37,134284.51,124518.33,1.69
2018-03-07,4.21,4.22,4.18,4.17,74636.05,-0.04,-0.95,4.204,4.162,4.123,116869.03,121905.16,148267.71,0.66
2018-03-06,4.21,4.24,4.22,4.18,157305.34,0.01,0.24,4.218,4.147,4.131,151184.15,119356.96,163774.19,1.4
2018-03-05,4.18,4.28,4.21,4.14,110690.63,0.05,1.2,4.202,4.125,4.16,139824.5,111982.43,159999.02,0.98
2018-03-02,4.21,4.25,4.16,4.16,105657.61,-0.09,-2.12,4.186,4.105,4.19,149714.17,109818.26,158421.46,0.94
2018-03-01,4.2,4.28,4.25,4.2,136055.52,0.0,0.0,4.162,4.089,4.224,140818.65,112215.56,156685.45,1.21
2018-02-28,4.36,4.37,4.25,4.22,246211.64,0.11,2.66,4.12,4.072,4.257,126941.3,109353.98,156118.12,2.18
2018-02-27,4.1,4.16,4.14,4.1,100507.09,0.01,0.24,4.076,4.057,4.287,87529.77,96771.85,150028.27,0.89
2018-02-26,4.03,4.15,4.13,4.01,160138.98,0.09,2.23,4.048,4.057,4.326,84140.35,103872.97,152194.87,1.42
2018-02-23,4.02,4.05,4.04,4.0,61180.0,0.0,0.0,4.024,4.059,4.371,69922.36,99188.86,152313.27,0.54
2018-02-22,4.04,4.05,4.04,4.01,66668.78,0.01,0.25,4.016,4.07,4.42,83612.47,114752.15,155923.32,0.59
2018-02-14,4.01,4.05,4.03,3.99,49154.0,0.03,0.75,4.024,4.083,4.47,91766.66,174630.26,157086.53,0.44
2018-02-13,4.02,4.06,4.0,3.99,83560.0,-0.01,-0.25,4.038,4.114,4.522,106013.92,208191.42,157490.83,0.74
2018-02-12,4.0,4.08,4.01,4.0,89049.0,0.01,0.25,4.066,4.195,4.578,123605.58,208015.61,157639.34,0.79
2018-02-09,4.1,4.1,4.0,3.95,129630.55,-0.08,-1.96,4.094,4.275,4.631,128455.36,207024.66,159207.78,1.15
2018-02-08,4.1,4.15,4.08,4.06,107439.76,-0.02,-0.49,4.124,4.359,4.687,145891.84,201155.35,155714.27,0.95
2018-02-07,4.16,4.18,4.1,4.04,120390.3,-0.04,-0.97,4.142,4.441,4.739,257493.86,202882.25,154758.29,1.07
2018-02-06,4.13,4.14,4.14,3.98,171518.31,-0.01,-0.24,4.19,4.516,4.789,310368.92,203284.7,153038.79,1.52
2018-02-05,4.1,4.15,4.15,4.02,113297.87,0.0,0.0,4.324,4.595,4.837,292425.63,200516.77,149286.08,1.01
2018-02-02,4.03,4.18,4.15,3.95,216812.95,-0.02,-0.48,4.456,4.682,4.887,285593.95,205437.68,149302.22,1.92
2018-02-01,4.27,4.29,4.17,3.91,665449.88,-0.17,-3.92,4.594,4.77,4.939,256418.86,197094.49,149586.97,5.9
2018-01-31,4.79,4.8,4.34,4.33,384765.59,-0.47,-9.77,4.74,4.856,4.986,148270.64,139542.8,124049.56,3.41
2018-01-30,4.8,4.84,4.81,4.76,81801.86,0.0,0.0,4.842,4.93,5.024,96200.48,106790.24,111745.82,0.73
2018-01-29,4.84,4.87,4.81,4.79,79139.49,-0.03,-0.62,4.866,4.96,5.039,108607.91,107263.07,112035.75,0.7
2018-01-26,4.87,4.92,4.84,4.83,70937.5,-0.06,-1.22,4.908,4.987,5.054,125281.41,111390.9,110855.97,0.63
2018-01-25,4.84,4.96,4.9,4.81,124708.78,0.05,1.03,4.946,5.014,5.068,137770.12,110273.2,110291.25,1.11
2018-01-24,4.91,4.91,4.85,4.82,124414.78,-0.08,-1.62,4.972,5.036,5.079,130814.96,106634.33,106872.21,1.1
2018-01-23,4.98,4.98,4.93,4.92,143839.02,-0.09,-1.79,5.018,5.061,5.094,117380.0,102792.88,104044.42,1.28
2018-01-22,5.0,5.02,5.02,4.92,162506.98,-0.01,-0.2,5.054,5.079,5.105,105918.23,98055.39,99814.78,1.44
2018-01-19,5.03,5.03,5.03,4.93,133381.02,0.0,0.0,5.066,5.092,5.115,97500.38,93166.76,94737.42,1.18
2018-01-18,5.08,5.08,5.03,5.03,89933.0,-0.05,-0.98,5.082,5.108,5.127,82776.28,102079.44,89861.56,0.8
2018-01-17,5.09,5.1,5.08,5.05,57240.0,-0.03,-0.59,5.1,5.115,5.143,82453.7,108556.32,87306.11,0.51
2018-01-16,5.1,5.12,5.11,5.05,86530.16,0.03,0.59,5.104,5.117,5.158,88205.75,116701.4,87532.62,0.77
2018-01-15,5.1,5.1,5.08,5.01,120417.73,-0.03,-0.59,5.104,5.117,5.168,90192.55,116808.43,85214.48,1.07
2018-01-12,5.11,5.13,5.11,5.09,59760.5,-0.01,-0.2,5.118,5.121,5.179,88833.13,110321.05,81049.57,0.53
2018-01-11,5.11,5.15,5.12,5.09,88320.12,0.02,0.39,5.134,5.122,5.189,121382.61,110309.3,81500.44,0.78
2018-01-10,5.08,5.1,5.1,5.04,86000.25,-0.01,-0.2,5.13,5.122,5.196,134658.94,107110.09,79278.29,0.76
2018-01-09,5.14,5.19,5.11,5.08,96464.13,-0.04,-0.78,5.13,5.127,5.206,145197.05,105295.96,77899.04,0.86
2018-01-08,5.16,5.18,5.15,5.12,113620.66,-0.04,-0.77,5.13,5.13,5.221,143424.31,101574.18,75682.89,1.01
2018-01-05,5.09,5.19,5.19,5.06,222507.88,0.09,1.76,5.124,5.137,5.236,131808.97,96308.08,72972.14,1.97
2018-01-04,5.09,5.12,5.1,5.05,154701.77,0.0,0.0,5.11,5.145,5.252,99235.99,77643.67,69602.56,1.37
2018-01-03,5.1,5.1,5.1,5.04,138690.83,-0.01,-0.2,5.114,5.17,5.257,79561.24,66055.9,67557.64,1.23
2018-01-02,5.11,5.12,5.11,5.07,87600.39,-0.01,-0.2,5.124,5.198,5.262,65394.87,58363.83,68464.73,0.78
2017-12-29,5.1,5.12,5.12,5.07,55543.97,0.0,0.0,5.13,5.219,5.285,59724.04,53620.54,74159.09,0.49
2017-12-28,5.11,5.13,5.12,5.08,59643.0,0.0,0.0,5.15,5.236,5.332,60807.19,51778.1,75535.99,0.53
2017-12-27,5.15,5.15,5.12,5.08,56328.0,-0.03,-0.58,5.18,5.256,5.383,56051.35,52691.58,74754.56,0.5
2017-12-26,5.12,5.17,5.15,5.07,67859.0,0.01,0.2,5.226,5.27,5.435,52550.55,51446.49,73962.91,0.6
