date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-03-29,3.65,3.73,3.73,3.63,51141.65,0.09,2.47,3.606,3.632,3.646,43302.03,34999.23,31293.24,0.59
2018-03-28,3.63,3.65,3.63,3.58,29981.89,-0.02,-0.55,3.602,3.623,3.64,41333.75,32111.36,30399.28,0.34
2018-03-27,3.56,3.67,3.65,3.54,44107.29,0.12,3.4,3.602,3.628,3.637,41353.77,32119.37,30758.49,0.51
2018-03-26,3.46,3.53,3.53,3.38,31983.33,0.03,0.86,3.602,3.637,3.633,36687.3,31756.34,29792.64,0.37
2018-03-23,3.56,3.64,3.49,3.41,59296.0,-0.21,-5.68,3.626,3.657,3.636,33313.24,32326.88,29544.73,0.68
2018-03-22,3.64,3.71,3.71,3.62,41300.22,0.07,1.92,3.658,3.677,3.639,26696.44,29129.15,27644.43,0.47
2018-03-21,3.62,3.7,3.63,3.62,30082.01,-0.01,-0.28,3.644,3.671,3.629,22888.96,27207.25,26767.07,0.35
2018-03-20,3.61,3.66,3.65,3.6,20774.95,0.01,0.28,3.654,3.67,3.621,22884.96,27243.8,25945.75,0.24
2018-03-19,3.66,3.67,3.65,3.63,15113.0,-0.01,-0.27,3.672,3.67,3.611,26825.38,27915.63,26270.8,0.17
2018-03-16,3.62,3.67,3.65,3.62,26212.0,0.01,0.28,3.688,3.663,3.601,31340.52,27993.97,26948.58,0.3
2018-03-15,3.65,3.67,3.64,3.61,22262.86,-0.04,-1.09,3.696,3.659,3.587,31561.86,27587.25,27875.09,0.26
2018-03-14,3.74,3.74,3.68,3.66,30062.0,-0.06,-1.6,3.698,3.657,3.577,31525.53,28687.2,27719.89,0.34
2018-03-13,3.73,3.8,3.74,3.69,40477.02,0.01,0.27,3.686,3.646,3.564,31602.64,29397.61,27841.29,0.46
2018-03-12,3.69,3.75,3.73,3.68,37688.7,0.04,1.08,3.668,3.628,3.546,29005.88,27828.95,27975.8,0.43
2018-03-09,3.65,3.7,3.69,3.64,27318.74,0.04,1.1,3.638,3.614,3.541,24647.43,26762.58,27306.12,0.31
2018-03-08,3.64,3.66,3.65,3.6,22081.18,0.02,0.55,3.622,3.6,3.539,23612.63,26159.7,27671.75,0.25
2018-03-07,3.64,3.7,3.62,3.62,30447.56,-0.03,-0.82,3.616,3.586,3.539,25848.88,26326.89,30451.34,0.35
2018-03-06,3.59,3.65,3.65,3.59,27493.23,0.06,1.67,3.606,3.571,3.55,27192.58,24647.7,32139.72,0.32
2018-03-05,3.6,3.61,3.58,3.58,15896.45,-0.03,-0.83,3.588,3.551,3.56,26652.01,24625.98,32197.56,0.18
2018-03-02,3.58,3.61,3.61,3.57,22144.72,0.0,0.0,3.59,3.538,3.576,28877.72,25903.2,34290.99,0.25
2018-03-01,3.56,3.62,3.62,3.53,33262.42,0.05,1.4,3.578,3.514,3.593,28706.78,28162.93,35240.63,0.38
2018-02-28,3.55,3.58,3.57,3.48,37166.06,0.01,0.28,3.556,3.497,3.61,26804.9,26752.58,35826.3,0.43
2018-02-27,3.58,3.59,3.56,3.54,24790.42,-0.03,-0.84,3.536,3.481,3.631,22102.83,26284.98,36405.5,0.28
2018-02-26,3.54,3.59,3.59,3.51,27025.0,0.04,1.13,3.514,3.464,3.654,22599.94,28122.66,37994.43,0.31
2018-02-23,3.51,3.57,3.55,3.49,21290.0,0.05,1.43,3.486,3.468,3.674,22928.67,27849.66,39176.06,0.24
2018-02-22,3.5,3.54,3.51,3.48,23753.0,0.04,1.15,3.45,3.477,3.695,27619.07,29183.79,41697.8,0.27
2018-02-14,3.46,3.48,3.47,3.44,13655.72,0.01,0.29,3.438,3.491,3.72,26700.27,34575.79,43785.9,0.16
2018-02-13,3.44,3.5,3.45,3.43,27276.0,0.01,0.29,3.426,3.529,3.749,30467.13,39631.74,47082.36,0.31
2018-02-12,3.37,3.46,3.45,3.37,28668.61,0.09,2.68,3.414,3.569,3.785,33645.38,39769.14,50480.03,0.33
2018-02-09,3.36,3.42,3.37,3.33,44742.02,-0.08,-2.32,3.45,3.613,3.816,32770.66,42678.78,55417.68,0.51
2018-02-08,3.4,3.46,3.45,3.38,19159.0,0.04,1.17,3.504,3.671,3.861,30748.51,42318.34,64583.05,0.22
2018-02-07,3.41,3.47,3.41,3.34,32490.01,0.02,0.59,3.544,3.723,3.895,42451.31,44900.03,67899.69,0.37
2018-02-06,3.6,3.61,3.39,3.35,43167.25,-0.24,-6.61,3.632,3.781,3.931,48796.35,46526.02,73115.2,0.5
2018-02-05,3.61,3.66,3.63,3.58,24295.01,-0.01,-0.28,3.724,3.843,3.975,45892.9,47866.2,79544.78,0.28
2018-02-02,3.65,3.67,3.64,3.55,34631.26,-0.01,-0.27,3.776,3.879,3.997,52586.9,50502.46,84797.89,0.4
2018-02-01,3.87,3.88,3.65,3.61,77673.0,-0.2,-5.2,3.838,3.913,4.016,53888.17,54211.81,89923.24,0.89
2018-01-31,3.9,3.92,3.85,3.84,64215.25,0.0,0.0,3.902,3.948,4.029,47348.74,52996.01,88447.26,0.74
2018-01-30,3.89,3.9,3.85,3.84,28650.0,-0.04,-1.03,3.93,3.968,4.03,44255.69,54532.98,87608.43,0.33
2018-01-29,3.95,3.97,3.89,3.85,57765.01,-0.06,-1.52,3.962,4.001,4.031,49839.5,61190.92,89913.59,0.66
2018-01-26,3.96,3.98,3.95,3.92,41137.61,-0.01,-0.25,3.982,4.019,4.026,48418.02,68156.58,88633.9,0.47
2018-01-25,3.99,4.0,3.97,3.95,44975.85,-0.01,-0.25,3.988,4.051,4.018,54535.45,86847.75,88621.03,0.52
