date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-03-26,5.62,5.84,5.83,5.47,35911.09,0.17,3.0,5.864,5.908,5.876,33510.44,32583.41,35254.58,0.72
2018-03-23,5.84,5.9,5.66,5.54,51851.29,-0.3,-5.03,5.88,5.928,5.864,31410.47,33771.82,35886.42,1.03
2018-03-22,5.94,5.98,5.96,5.88,26302.0,0.03,0.51,5.936,5.96,5.856,26339.25,31919.87,34767.3,0.52
2018-03-21,5.97,6.01,5.93,5.89,27591.0,-0.01,-0.17,5.936,5.953,5.836,29898.19,31301.77,34789.75,0.55
2018-03-20,5.88,5.96,5.94,5.83,25896.8,0.03,0.51,5.938,5.944,5.816,30967.49,32219.85,34641.94,0.52
2018-03-19,6.0,6.03,5.91,5.87,25411.25,-0.03,-0.51,5.952,5.932,5.795,31656.38,32113.37,34658.1,0.51
2018-03-16,5.95,6.0,5.94,5.86,26495.19,-0.02,-0.34,5.976,5.924,5.777,36133.18,32179.29,35195.63,0.53
2018-03-15,5.9,5.98,5.96,5.78,44096.73,0.02,0.34,5.984,5.918,5.753,37500.49,33250.38,36990.21,0.88
2018-03-14,6.0,6.07,5.94,5.89,32937.5,-0.07,-1.17,5.97,5.901,5.728,32705.34,33423.85,36464.45,0.66
2018-03-13,6.03,6.05,6.01,5.95,29341.25,-0.02,-0.33,5.95,5.876,5.701,33472.2,33985.68,37186.87,0.58
2018-03-12,5.99,6.06,6.03,5.95,47795.24,0.05,0.84,5.912,5.843,5.665,32570.35,37925.75,37969.66,0.95
2018-03-09,5.89,6.0,5.98,5.86,33331.72,0.09,1.53,5.872,5.799,5.64,28225.4,38001.01,36998.04,0.66
2018-03-08,5.86,5.89,5.89,5.82,20121.0,0.05,0.86,5.852,5.751,5.618,29000.27,37614.74,37784.57,0.4
2018-03-07,5.82,5.91,5.84,5.78,36771.79,0.02,0.34,5.832,5.718,5.594,34142.35,38277.73,39419.32,0.73
2018-03-06,5.8,5.87,5.82,5.78,24832.0,-0.01,-0.17,5.802,5.687,5.586,34499.17,37064.03,39608.59,0.49
2018-03-05,5.85,5.87,5.83,5.78,26070.49,-0.05,-0.85,5.774,5.658,5.591,43281.16,37202.83,39938.93,0.52
2018-03-02,5.75,5.91,5.88,5.72,37206.07,0.09,1.55,5.726,5.629,5.599,47776.61,38211.97,40177.81,0.74
2018-03-01,5.68,5.82,5.79,5.62,45831.42,0.1,1.76,5.65,5.587,5.606,46229.2,40730.05,39847.28,0.91
2018-02-28,5.66,5.71,5.69,5.6,38555.86,0.01,0.18,5.604,5.554,5.617,42413.1,39505.05,39564.89,0.77
2018-02-27,5.56,5.72,5.68,5.55,68741.95,0.09,1.61,5.572,5.525,5.633,39628.89,40388.05,39336.01,1.37
2018-02-26,5.52,5.62,5.59,5.44,48547.77,0.09,1.64,5.542,5.487,5.646,31124.5,38013.56,36914.01,0.97
2018-02-23,5.56,5.56,5.5,5.45,29469.0,-0.06,-1.08,5.532,5.481,5.665,28647.33,35995.08,36275.06,0.59
2018-02-22,5.55,5.57,5.56,5.49,26750.9,0.03,0.54,5.524,5.484,5.69,35230.89,37954.41,35997.56,0.53
2018-02-14,5.54,5.56,5.53,5.42,24634.81,0.0,0.0,5.504,5.47,5.715,36597.01,40560.92,36024.35,0.49
2018-02-13,5.6,5.6,5.53,5.5,26220.0,-0.01,-0.18,5.478,5.484,5.739,41147.22,42153.14,36606.16,0.52
2018-02-12,5.52,5.55,5.54,5.42,36161.94,0.08,1.47,5.432,5.524,5.764,44902.62,42675.03,37837.52,0.72
2018-02-09,5.36,5.57,5.46,5.3,62386.8,0.0,0.0,5.43,5.569,5.792,43342.83,42143.64,38368.04,1.24
2018-02-08,5.4,5.5,5.46,5.36,33581.48,0.06,1.11,5.444,5.625,5.841,40677.94,38964.51,37158.0,0.67
2018-02-07,5.36,5.42,5.4,5.2,47385.88,0.1,1.89,5.436,5.679,5.895,44524.84,39624.74,37991.11,0.94
2018-02-06,5.46,5.59,5.3,5.26,44997.01,-0.23,-4.16,5.49,5.741,5.944,43159.07,38283.97,38538.24,0.9
2018-02-05,5.48,5.55,5.53,5.36,28363.0,0.0,0.0,5.616,5.805,6.0,40447.44,35814.47,39471.39,0.56
2018-02-02,5.42,5.54,5.53,5.15,49062.32,0.11,2.03,5.708,5.848,6.05,40944.44,36555.04,39823.09,0.98
2018-02-01,5.68,5.7,5.42,5.36,52816.0,-0.25,-4.41,5.806,5.895,6.101,37251.08,34040.71,39524.42,1.05
2018-01-31,5.92,5.97,5.67,5.65,40557.0,-0.26,-4.38,5.922,5.959,6.158,34724.63,31487.77,38925.62,0.81
2018-01-30,5.99,5.99,5.93,5.87,31438.9,-0.06,-1.0,5.992,5.993,6.203,33408.87,31059.17,39800.56,0.63
