date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-03-29,5.96,6.0,5.98,5.9,44496.62,0.11,1.87,5.82,5.889,5.965,34948.96,31306.94,39216.5,0.32
2018-03-28,5.85,5.91,5.88,5.82,23519.0,0.05,0.86,5.814,5.892,5.967,32248.23,30322.88,38567.52,0.17
2018-03-27,5.82,5.88,5.83,5.8,27165.48,0.11,1.92,5.838,5.905,5.971,33253.94,31441.35,38576.89,0.19
2018-03-26,5.65,5.75,5.72,5.62,24728.29,0.02,0.35,5.864,5.93,5.978,33908.51,34391.51,38693.9,0.18
2018-03-23,5.8,5.87,5.69,5.61,54835.39,-0.25,-4.21,5.904,5.976,5.992,33239.43,41024.69,39085.03,0.39
2018-03-22,5.97,6.02,5.95,5.91,30992.97,-0.04,-0.67,5.958,6.027,6.005,27664.92,44373.27,37467.95,0.22
2018-03-21,5.94,6.05,6.0,5.94,28547.55,0.03,0.5,5.97,6.031,6.004,28397.54,43636.09,36980.26,0.2
2018-03-20,5.87,5.99,5.96,5.85,30438.34,0.03,0.51,5.972,6.032,5.997,29628.77,45636.27,36337.58,0.22
2018-03-19,5.95,5.97,5.92,5.9,21382.9,-0.04,-0.67,5.996,6.035,5.991,34874.51,47025.81,36379.61,0.15
2018-03-16,6.03,6.04,5.96,5.95,26962.86,-0.05,-0.83,6.048,6.037,5.986,48809.95,46950.13,36614.83,0.19
2018-03-15,5.99,6.04,6.01,5.95,34656.04,0.0,0.0,6.096,6.041,5.975,61081.62,47126.06,37570.6,0.25
2018-03-14,6.07,6.09,6.01,6.0,34703.73,-0.07,-1.15,6.092,6.041,5.972,58874.65,46812.16,37106.88,0.25
2018-03-13,6.14,6.17,6.08,6.07,56667.01,-0.11,-1.78,6.092,6.036,5.964,61643.76,45712.43,37708.36,0.4
2018-03-12,6.3,6.3,6.18,6.12,91060.1,-0.01,-0.16,6.074,6.025,5.952,59177.11,42996.28,38744.95,0.65
2018-03-09,5.99,6.23,6.2,5.95,88321.2,0.21,3.51,6.026,6.007,5.949,45090.3,37145.38,36791.18,0.63
2018-03-08,5.99,6.02,5.99,5.95,23621.21,-0.02,-0.33,5.986,5.983,5.946,33170.5,30562.63,38482.12,0.17
2018-03-07,5.99,6.08,6.01,5.97,48549.28,0.01,0.17,5.99,5.976,5.974,34749.68,30324.43,44396.03,0.34
2018-03-06,5.98,6.02,5.99,5.91,44333.78,0.03,0.5,5.98,5.961,5.999,29781.11,27038.89,45575.24,0.31
2018-03-05,5.99,6.0,5.94,5.91,20626.05,-0.05,-0.83,5.976,5.947,6.021,26815.46,25733.41,45704.76,0.15
2018-03-02,5.99,6.04,6.0,5.95,28722.16,-0.01,-0.17,5.988,5.934,6.048,29200.45,26279.54,46827.51,0.2
2018-03-01,5.97,6.01,6.01,5.94,31517.12,0.04,0.67,5.98,5.909,6.073,27954.76,28015.14,48538.49,0.22
2018-02-28,5.96,6.01,5.96,5.92,23706.44,-0.01,-0.17,5.962,5.902,6.095,25899.18,27401.59,51133.35,0.17
2018-02-27,6.0,6.01,5.97,5.95,29505.51,-0.04,-0.67,5.942,5.892,6.124,24296.66,29704.28,53227.03,0.21
2018-02-26,5.96,6.03,6.0,5.92,32551.02,0.04,0.67,5.918,5.879,6.156,24651.36,34493.61,55688.79,0.23
2018-02-23,5.93,6.01,5.96,5.89,22493.7,0.03,0.51,5.88,5.89,6.183,23358.62,36436.97,56784.92,0.16
2018-02-22,5.9,5.93,5.92,5.85,21239.21,0.05,0.85,5.838,5.909,6.21,28075.52,46401.62,60577.71,0.15
2018-02-14,5.85,5.87,5.86,5.81,15693.87,0.01,0.17,5.842,5.971,6.244,28904.0,58467.62,66022.94,0.11
2018-02-13,5.81,5.92,5.85,5.81,31279.01,0.04,0.69,5.842,6.037,6.288,35111.89,64111.58,78425.11,0.22
2018-02-12,5.74,5.85,5.81,5.71,26087.31,0.07,1.22,5.84,6.095,6.34,44335.86,65676.1,92362.97,0.19
2018-02-09,5.84,5.85,5.75,5.59,46078.2,-0.18,-3.04,5.9,6.161,6.372,49515.33,67375.49,94805.04,0.33
2018-02-08,5.85,5.94,5.94,5.78,25381.63,0.09,1.54,5.98,6.237,6.41,64727.71,69061.84,97416.05,0.18
2018-02-07,5.99,6.0,5.86,5.69,46733.32,0.02,0.34,6.1,6.287,6.438,88031.24,74865.12,100137.66,0.33
2018-02-06,6.01,6.1,5.84,5.83,77398.84,-0.27,-4.42,6.232,6.356,6.478,93111.27,76749.78,101455.39,0.55
2018-02-05,6.09,6.16,6.11,6.03,51984.64,-0.05,-0.81,6.35,6.432,6.517,87016.34,76883.97,101863.32,0.37
2018-02-02,6.43,6.43,6.15,5.9,122140.12,-0.36,-5.53,6.422,6.476,6.542,85235.66,77132.87,106961.27,0.87
2018-02-01,6.54,6.86,6.54,6.46,141899.3,0.02,0.31,6.494,6.511,6.566,73395.97,74753.8,109632.96,1.01
2018-01-31,6.43,6.65,6.52,6.36,72133.47,0.09,1.4,6.474,6.516,6.563,61698.99,73578.26,104910.62,0.51
2018-01-30,6.47,6.55,6.43,6.4,46924.19,-0.04,-0.62,6.48,6.538,6.557,60388.29,92738.64,104244.42,0.33
2018-01-29,6.49,6.58,6.47,6.43,43081.23,-0.04,-0.61,6.514,6.585,6.554,66751.59,119049.84,105757.25,0.31
2018-01-26,6.44,6.56,6.51,6.41,62941.67,0.07,1.09,6.53,6.582,6.55,69030.07,122234.59,112950.79,0.45
2018-01-25,6.54,6.57,6.44,6.4,83414.41,-0.11,-1.68,6.528,6.583,6.525,76111.63,125770.27,111079.88,0.59
2018-01-24,6.61,6.66,6.55,6.5,65579.93,-0.06,-0.91,6.558,6.589,6.502,85457.53,125410.2,108174.37,0.47
2018-01-23,6.54,6.68,6.6,6.54,78740.69,0.06,0.92,6.596,6.599,6.475,125088.99,126161.01,106139.09,0.56
2018-01-22,6.48,6.57,6.55,6.47,54473.64,0.03,0.46,6.656,6.601,6.442,171348.1,126842.67,104293.39,0.39
2018-01-19,6.57,6.67,6.5,6.45,98349.49,-0.1,-1.51,6.634,6.607,6.41,175439.12,136789.67,102451.92,0.7
2018-01-18,6.64,6.7,6.59,6.52,130143.92,-0.14,-2.08,6.638,6.62,6.381,175428.9,144512.12,99007.13,0.92
2018-01-17,7.1,7.1,6.74,6.66,263737.19,-0.16,-2.32,6.62,6.609,6.345,165362.87,136242.97,94346.52,1.87
